crop,market_code,market_name,district,state,min_price,max_price,modal_price,arrival_quantity,date,source,agroelevate_avg_price,district_demand,market_volatility,weekly_trend,monthly_trend
Broccoli,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,27.72,35.28,31.5,2976.2,2026-06-28,eNAM,35.39,53.7,0.0996,-0.0526,-0.001
Nutmeg,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,33.84,43.08,38.46,2022.7,2026-06-28,eNAM,42.93,67.9,0.0673,-0.0054,-0.1011
Almond,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,51.52,65.58,58.55,2311.9,2026-06-28,eNAM,64.32,81.4,0.1031,-0.0729,-0.1
Green Chilli,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,45.55,57.97,51.76,4837.9,2026-06-28,eNAM,54.58,49.9,0.0657,-0.071,-0.0453
Barnyard Millet,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,39.45,50.21,44.83,270.1,2026-06-28,eNAM,52.57,68.1,0.1445,0.0313,0.0596
Linseed,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,42.02,53.48,47.75,1545.8,2026-06-28,eNAM,50.52,81.6,0.1876,0.065,-0.0739
Horse Gram,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,43.78,55.72,49.75,2648.9,2026-06-28,eNAM,55.89,63.9,0.0901,0.0907,-0.0292
Semolina,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,47.6,60.58,54.09,3083.6,2026-06-28,eNAM,58.14,49.4,0.1104,-0.0608,0.0644
Garlic,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,101.82,129.58,115.7,4692.2,2026-06-28,eNAM,124.47,45.3,0.149,0.0901,0.0346
Pigeon Pea,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,42.5,54.08,48.29,1268.0,2026-06-28,eNAM,56.73,65.1,0.2303,-0.0459,0.0239
Mesta,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,27.36,34.82,31.09,339.2,2026-06-28,eNAM,33.16,35.2,0.1783,0.0829,-0.054
Pumpkin,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,29.24,37.22,33.23,4659.0,2026-06-28,eNAM,36.03,81.0,0.1253,0.0775,0.0006
Bottle Gourd,MKT0004,Andaman wholesale 4,AN004,Andaman and Nicobar Islands,57.06,72.62,64.84,2785.7,2026-06-28,eNAM,73.97,52.6,0.1465,0.0799,-0.0857
Lemongrass,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,49.06,62.44,55.75,4400.3,2026-06-28,data.gov.in,63.34,66.4,0.0863,0.0117,0.1473
Urad,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,22.46,28.58,25.52,2614.8,2026-06-28,data.gov.in,28.42,40.0,0.0688,-0.0784,-0.0496
Basmati Rice,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,48.52,61.76,55.14,2289.1,2026-06-28,data.gov.in,60.48,64.3,0.1132,0.0822,-0.048
Vanilla,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,50.86,64.72,57.79,4489.1,2026-06-28,data.gov.in,61.27,62.0,0.2025,0.0275,0.1442
Capsicum,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,44.31,56.39,50.35,1165.8,2026-06-28,data.gov.in,56.77,82.5,0.2417,0.0387,-0.1439
Yam,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,47.42,60.36,53.89,3694.6,2026-06-28,data.gov.in,56.63,44.2,0.2386,0.0435,-0.0088
Cluster Beans,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,49.22,62.64,55.93,2270.5,2026-06-28,data.gov.in,60.62,77.0,0.1526,0.0399,-0.1074
Ridge Gourd,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,41.17,52.39,46.78,4909.7,2026-06-28,data.gov.in,54.57,29.2,0.2276,0.0753,-0.0741
Bajra,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,57.77,73.53,65.65,2446.1,2026-06-28,data.gov.in,74.11,55.3,0.1632,-0.0036,0.0008
Coriander,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,44.7,56.88,50.79,241.6,2026-06-28,data.gov.in,56.41,92.4,0.0792,0.0177,-0.1314
Safflower,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,29.62,37.7,33.66,927.6,2026-06-28,data.gov.in,38.51,75.4,0.0686,-0.0541,0.1481
Urad Dal,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,51.94,66.1,59.02,3973.1,2026-06-28,data.gov.in,62.04,59.1,0.1507,-0.0032,0.0012
Cotton,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,48.31,61.49,54.9,3799.6,2026-06-28,data.gov.in,61.51,63.9,0.1744,-0.0751,0.1283
Green Chilli,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,30.1,38.3,34.2,683.7,2026-06-28,data.gov.in,36.31,68.8,0.1297,0.0395,-0.0118
Colocasia,MKT0005,Andaman APMC 5,AN005,Andaman and Nicobar Islands,44.94,57.2,51.07,2827.8,2026-06-28,data.gov.in,55.71,55.7,0.1788,0.0305,0.1374
Pearl Millet,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,31.42,39.98,35.7,346.3,2026-06-28,AGMARKNET,41.02,62.4,0.0993,0.0649,0.0002
Brinjal,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,53.61,68.23,60.92,4723.5,2026-06-28,AGMARKNET,70.58,31.4,0.1524,0.0528,0.0242
Coffee,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,55.19,70.25,62.72,850.3,2026-06-28,AGMARKNET,66.27,84.7,0.1045,-0.0786,0.1345
Semolina,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,34.63,44.07,39.35,1919.0,2026-06-28,AGMARKNET,46.42,50.9,0.0735,0.0273,0.1938
Orange,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,50.79,64.65,57.72,3564.7,2026-06-28,AGMARKNET,60.7,43.7,0.0596,0.0568,0.0913
Onion,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,25.11,31.95,28.53,568.8,2026-06-28,AGMARKNET,31.49,69.1,0.2281,0.08,0.182
Papaya,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,50.67,64.49,57.58,1282.1,2026-06-28,AGMARKNET,62.81,98.0,0.1945,-0.018,0.113
Arhar,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,41.13,52.35,46.74,2135.1,2026-06-28,AGMARKNET,50.62,69.1,0.0658,-0.051,-0.0532
Soybean,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,42.29,53.83,48.06,1903.1,2026-06-28,AGMARKNET,54.18,53.0,0.0546,0.0548,0.063
Drumstick,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,34.89,44.41,39.65,3381.1,2026-06-28,AGMARKNET,45.52,58.7,0.0965,-0.0559,0.05
Cluster Beans,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,41.31,52.57,46.94,317.7,2026-06-28,AGMARKNET,53.05,66.9,0.2368,0.0545,0.1721
Cucumber,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,62.9,80.06,71.48,4087.7,2026-06-28,AGMARKNET,77.39,98.0,0.1735,-0.0791,0.1249
Cumin,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,31.17,39.67,35.42,1331.2,2026-06-28,AGMARKNET,40.61,72.5,0.1555,0.0028,0.0547
Garlic,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,97.79,124.47,111.13,1798.8,2026-06-28,AGMARKNET,127.52,73.0,0.1393,0.0769,0.0897
Raw Jute,MKT0006,Andaman mandi 6,AN006,Andaman and Nicobar Islands,32.16,40.94,36.55,4018.9,2026-06-28,AGMARKNET,41.58,46.0,0.0608,-0.0382,-0.0985
Cardamom,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,58.75,74.77,66.76,4240.0,2026-06-28,eNAM,75.01,93.3,0.1964,0.089,-0.0297
Linseed,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,49.28,62.72,56.0,1088.7,2026-06-28,eNAM,65.76,80.7,0.0868,0.1172,0.15
Masoor Dal,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,48.05,61.15,54.6,1912.1,2026-06-28,eNAM,63.44,52.3,0.1961,-0.0609,-0.1293
Elephant Foot Yam,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,44.48,56.6,50.54,4763.6,2026-06-28,eNAM,58.34,71.9,0.1389,-0.044,0.0142
Broken Rice,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,36.45,46.39,41.42,3101.0,2026-06-28,eNAM,47.31,62.9,0.1957,-0.0677,-0.0924
Tobacco,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,40.41,51.43,45.92,2970.0,2026-06-28,eNAM,51.85,88.0,0.0697,-0.0454,0.1183
Ginger,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,88.88,113.12,101.0,531.0,2026-06-28,eNAM,117.84,71.7,0.1732,0.0005,0.0455
Apple,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,28.05,35.71,31.88,617.5,2026-06-28,eNAM,34.08,72.7,0.0742,-0.0422,0.0019
Stevia,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,38.4,48.88,43.64,2063.5,2026-06-28,eNAM,47.97,31.8,0.0615,0.0368,0.0357
Tapioca,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,40.44,51.48,45.96,203.1,2026-06-28,eNAM,49.49,63.5,0.1842,-0.0196,-0.0513
Cabbage,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,56.19,71.51,63.85,2369.8,2026-06-28,eNAM,74.89,57.9,0.1957,0.037,0.0058
Papaya,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,30.45,38.75,34.6,2476.5,2026-06-28,eNAM,40.35,54.7,0.2309,-0.0373,0.0454
Grapes,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,41.28,52.54,46.91,51.5,2026-06-28,eNAM,51.54,87.9,0.1087,-0.0764,0.1561
Clove,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,26.38,33.58,29.98,2456.0,2026-06-28,eNAM,32.35,43.6,0.1583,0.0571,0.0617
Little Millet,MKT0007,Andaman eNAM hub 7,AN007,Andaman and Nicobar Islands,34.33,43.69,39.01,1446.1,2026-06-28,eNAM,41.95,53.7,0.2089,0.0039,0.0559
Jute,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,51.63,65.71,58.67,2047.3,2026-06-28,data.gov.in,68.68,41.8,0.2141,0.0282,0.04
Arhar,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,32.44,41.28,36.86,2254.6,2026-06-28,data.gov.in,41.75,83.4,0.1623,-0.0161,0.1474
Garlic,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,99.26,126.34,112.8,955.6,2026-06-28,data.gov.in,123.65,44.6,0.2316,-0.0152,0.0436
Mesta,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,29.75,37.87,33.81,3881.8,2026-06-28,data.gov.in,37.11,55.7,0.2148,-0.0073,-0.0448
Mushroom,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,40.74,51.86,46.3,1064.9,2026-06-28,data.gov.in,49.46,76.0,0.0873,-0.0171,0.081
Sweet Potato,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,36.72,46.74,41.73,4393.1,2026-06-28,data.gov.in,45.16,71.9,0.2401,-0.048,-0.1339
Psyllium,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,48.98,62.34,55.66,4462.3,2026-06-28,data.gov.in,60.67,65.3,0.1344,0.0087,0.0372
Tobacco,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,34.47,43.87,39.17,4497.1,2026-06-28,data.gov.in,45.94,35.0,0.1579,-0.0767,-0.0685
Moong,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,25.49,32.45,28.97,1000.7,2026-06-28,data.gov.in,33.72,91.2,0.1152,0.1015,0.1277
Turmeric,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,70.5,89.72,80.11,1916.5,2026-06-28,data.gov.in,87.69,78.1,0.0972,-0.0498,0.1811
Clove,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,33.11,42.15,37.63,62.1,2026-06-28,data.gov.in,44.16,40.2,0.1443,-0.0302,0.0175
Elephant Foot Yam,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,47.01,59.83,53.42,4431.7,2026-06-28,data.gov.in,57.39,65.8,0.1572,0.1178,-0.0548
Brinjal,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,32.77,41.71,37.24,809.2,2026-06-28,data.gov.in,43.24,68.6,0.1555,0.0283,0.1702
Coffee,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,35.53,45.23,40.38,1395.3,2026-06-28,data.gov.in,44.16,77.4,0.2329,-0.0103,0.1891
Orange,MKT0008,Andaman wholesale 8,AN008,Andaman and Nicobar Islands,42.74,54.4,48.57,3497.3,2026-06-28,data.gov.in,56.51,58.1,0.0689,0.0173,0.1898
Spinach,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,39.64,50.46,45.05,4958.0,2026-06-28,AGMARKNET,49.28,64.1,0.2062,0.1076,-0.1293
Wheat,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,24.74,31.48,28.11,2632.7,2026-06-28,AGMARKNET,31.09,74.7,0.1322,0.0365,-0.0996
Pearl Millet,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,53.04,67.5,60.27,897.6,2026-06-28,AGMARKNET,66.52,66.1,0.1141,0.0516,0.1019
Parboiled Rice,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,34.62,44.06,39.34,4277.0,2026-06-28,AGMARKNET,44.6,65.8,0.0718,-0.0208,-0.1211
Isabgol,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,33.25,42.31,37.78,1191.1,2026-06-28,AGMARKNET,41.94,72.0,0.0761,0.0905,-0.0647
Soybean,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,38.75,49.31,44.03,613.9,2026-06-28,AGMARKNET,47.2,50.4,0.0922,0.0687,0.0669
Nutmeg,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,45.84,58.34,52.09,171.4,2026-06-28,AGMARKNET,55.98,46.0,0.0774,-0.0623,0.1366
Cardamom,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,53.18,67.68,60.43,4493.7,2026-06-28,AGMARKNET,69.85,34.9,0.1247,0.0854,0.1877
Sann Hemp,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,49.83,63.41,56.62,3814.4,2026-06-28,AGMARKNET,66.52,53.9,0.1285,0.066,0.0983
Beetroot,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,40.32,51.32,45.82,235.7,2026-06-28,AGMARKNET,52.44,53.8,0.1399,0.0994,-0.0598
Banana,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,19.6,24.94,22.27,4172.9,2026-06-28,AGMARKNET,25.64,73.1,0.0605,0.0166,0.1129
Okra,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,49.74,63.3,56.52,3307.8,2026-06-28,AGMARKNET,60.45,67.5,0.0881,0.0782,0.043
Turmeric,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,69.92,88.98,79.45,566.7,2026-06-28,AGMARKNET,93.05,53.1,0.0867,0.0081,-0.1005
Walnut,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,26.71,33.99,30.35,1262.9,2026-06-28,AGMARKNET,33.61,82.6,0.0815,0.0463,-0.0489
Green Chilli,MKT0009,Andaman APMC 9,AN009,Andaman and Nicobar Islands,58.31,74.21,66.26,3237.6,2026-06-28,AGMARKNET,74.13,76.2,0.2075,-0.0387,0.1596
Coffee,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,44.1,56.12,50.11,1135.5,2026-06-28,eNAM,52.97,81.0,0.0676,-0.0205,0.0398
Semolina,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,56.19,71.51,63.85,2480.1,2026-06-28,eNAM,67.28,40.1,0.0544,-0.0423,-0.1418
Cotton,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,51.81,65.95,58.88,1086.7,2026-06-28,eNAM,66.76,54.0,0.1731,-0.0682,-0.0679
Maize Grits,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,45.36,57.72,51.54,3100.0,2026-06-28,eNAM,58.52,98.0,0.0861,-0.0441,-0.1437
Mango,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,57.87,73.65,65.76,389.9,2026-06-28,eNAM,72.09,53.7,0.0732,-0.0261,0.0274
Ginger,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,79.68,101.42,90.55,2456.5,2026-06-28,eNAM,104.73,45.6,0.0533,-0.0635,0.0633
Linseed,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,37.44,47.64,42.54,937.9,2026-06-28,eNAM,44.89,69.4,0.097,0.0602,-0.0676
Apple,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,42.28,53.82,48.05,3515.6,2026-06-28,eNAM,50.58,52.3,0.1884,0.0743,0.1659
Broken Rice,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,48.08,61.2,54.64,3529.8,2026-06-28,eNAM,61.47,72.9,0.211,0.1011,0.0318
Tomato,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,33.53,42.67,38.1,1082.3,2026-06-28,eNAM,40.67,67.8,0.1897,-0.0549,0.1099
Walnut,MKT0010,Andaman mandi 10,AN010,Andaman and Nicobar Islands,26.7,33.98,30.34,3150.2,2026-06-28,eNAM,32.92,55.9,0.2427,-0.0685,-0.0694
