crop_name,region,season,month,demand_index,avg_price,volatility,season_fit
Wheat,South India,rabi,5,68.69,23.99,0.12,0.8
Wheat,South India,rabi,6,77.43,22.14,0.12,0.8
Wheat,South India,rabi,7,67.79,20.3,0.12,0.8
Wheat,South India,rabi,8,55.81,19.12,0.12,0.8
Wheat,South India,rabi,9,65.3,20.36,0.12,0.8
Wheat,South India,rabi,10,64.44,19.35,0.12,0.8
Wheat,South India,rabi,11,66.33,19.49,0.12,0.8
Wheat,South India,rabi,12,73.71,22.6,0.12,0.8
Wheat,South India,zaid,1,73.46,22.88,0.12,0.8
Wheat,South India,zaid,2,77.61,23.6,0.12,0.8
Wheat,South India,zaid,3,73.93,27.3,0.12,0.8
Wheat,South India,zaid,4,65.65,24.35,0.12,0.8
Wheat,South India,zaid,5,70.0,23.22,0.12,0.8
Wheat,South India,zaid,6,60.25,22.05,0.12,0.8
Wheat,South India,zaid,7,61.19,20.7,0.12,0.8
Wheat,South India,zaid,8,60.8,20.21,0.12,0.8
Wheat,South India,zaid,9,61.08,18.48,0.12,0.8
Wheat,South India,zaid,10,69.47,18.29,0.12,0.8
Wheat,South India,zaid,11,67.64,21.31,0.12,0.8
Wheat,South India,zaid,12,59.96,22.15,0.12,0.8
Wheat,West India,kharif,1,70.8,24.32,0.12,0.95
Wheat,West India,kharif,2,64.41,23.68,0.12,0.95
Wheat,West India,kharif,3,73.61,25.57,0.12,0.95
Wheat,West India,kharif,4,71.85,25.17,0.12,0.95
Wheat,West India,kharif,5,66.1,23.85,0.12,0.95
Wheat,West India,kharif,6,69.47,21.43,0.12,0.95
Wheat,West India,kharif,7,75.83,20.7,0.12,0.95
Wheat,West India,kharif,8,59.45,19.59,0.12,0.95
Wheat,West India,kharif,9,60.13,19.23,0.12,0.95
Wheat,West India,kharif,10,71.19,18.58,0.12,0.95
Wheat,West India,kharif,11,71.32,20.65,0.12,0.95
Wheat,West India,kharif,12,72.11,23.5,0.12,0.95
Wheat,West India,rabi,1,68.27,23.01,0.12,0.8
Wheat,West India,rabi,2,66.15,24.13,0.12,0.8
Wheat,West India,rabi,3,70.61,25.61,0.12,0.8
Wheat,West India,rabi,4,71.98,25.6,0.12,0.8
Wheat,West India,rabi,5,69.57,24.89,0.12,0.8
Wheat,West India,rabi,6,66.68,24.15,0.12,0.8
Wheat,West India,rabi,7,69.63,19.72,0.12,0.8
Wheat,West India,rabi,8,60.05,19.47,0.12,0.8
Wheat,West India,rabi,9,63.88,19.18,0.12,0.8
Wheat,West India,rabi,10,67.77,19.09,0.12,0.8
Wheat,West India,rabi,11,62.27,19.24,0.12,0.8
Wheat,West India,rabi,12,65.77,22.68,0.12,0.8
Wheat,West India,zaid,1,70.57,22.59,0.12,0.8
Wheat,West India,zaid,2,71.46,25.2,0.12,0.8
Wheat,West India,zaid,3,66.58,25.44,0.12,0.8
Wheat,West India,zaid,4,70.89,23.84,0.12,0.8
Wheat,West India,zaid,5,71.29,24.13,0.12,0.8
Wheat,West India,zaid,6,73.42,22.83,0.12,0.8
Wheat,West India,zaid,7,59.61,19.66,0.12,0.8
Wheat,West India,zaid,8,67.98,19.5,0.12,0.8
Wheat,West India,zaid,9,67.58,21.29,0.12,0.8
Wheat,West India,zaid,10,68.26,19.92,0.12,0.8
Wheat,West India,zaid,11,71.27,20.83,0.12,0.8
Wheat,West India,zaid,12,66.42,22.6,0.12,0.8
Wheat,East India,kharif,1,65.64,23.45,0.12,0.95
Wheat,East India,kharif,2,68.17,24.93,0.12,0.95
Wheat,East India,kharif,3,82.57,23.6,0.12,0.95
Wheat,East India,kharif,4,74.03,23.41,0.12,0.95
Wheat,East India,kharif,5,67.14,24.58,0.12,0.95
Wheat,East India,kharif,6,68.32,21.15,0.12,0.95
Wheat,East India,kharif,7,62.92,20.85,0.12,0.95
Wheat,East India,kharif,8,61.75,19.29,0.12,0.95
Wheat,East India,kharif,9,65.23,18.26,0.12,0.95
Wheat,East India,kharif,10,76.12,19.58,0.12,0.95
Wheat,East India,kharif,11,56.37,20.49,0.12,0.95
Wheat,East India,kharif,12,64.69,22.68,0.12,0.95
Wheat,East India,rabi,1,65.54,23.55,0.12,0.8
Wheat,East India,rabi,2,73.12,25.63,0.12,0.8
Wheat,East India,rabi,3,65.0,25.0,0.12,0.8
Wheat,East India,rabi,4,68.22,24.27,0.12,0.8
Wheat,East India,rabi,5,78.33,23.99,0.12,0.8
Wheat,East India,rabi,6,61.7,22.73,0.12,0.8
Wheat,East India,rabi,7,77.11,21.11,0.12,0.8
Wheat,East India,rabi,8,57.81,18.81,0.12,0.8
Wheat,East India,rabi,9,71.33,18.22,0.12,0.8
Wheat,East India,rabi,10,67.62,19.68,0.12,0.8
Wheat,East India,rabi,11,61.87,20.31,0.12,0.8
Wheat,East India,rabi,12,51.79,21.19,0.12,0.8
Wheat,East India,zaid,1,68.24,22.59,0.12,0.8
Wheat,East India,zaid,2,78.76,23.58,0.12,0.8
Wheat,East India,zaid,3,68.8,25.42,0.12,0.8
Wheat,East India,zaid,4,77.8,23.57,0.12,0.8
Wheat,East India,zaid,5,75.32,23.66,0.12,0.8
Wheat,East India,zaid,6,63.09,22.37,0.12,0.8
Wheat,East India,zaid,7,67.5,19.91,0.12,0.8
Wheat,East India,zaid,8,65.75,18.88,0.12,0.8
Wheat,East India,zaid,9,65.57,19.15,0.12,0.8
Wheat,East India,zaid,10,73.33,18.29,0.12,0.8
Wheat,East India,zaid,11,77.17,18.92,0.12,0.8
Wheat,East India,zaid,12,67.24,22.47,0.12,0.8
Wheat,Central India,kharif,1,70.9,23.12,0.12,0.95
Wheat,Central India,kharif,2,69.56,24.42,0.12,0.95
Wheat,Central India,kharif,3,68.05,26.07,0.12,0.95
Wheat,Central India,kharif,4,72.38,24.24,0.12,0.95
Wheat,Central India,kharif,5,74.0,23.91,0.12,0.95
Wheat,Central India,kharif,6,72.06,22.5,0.12,0.95
Wheat,Central India,kharif,7,62.36,19.94,0.12,0.95
Wheat,Central India,kharif,8,69.14,19.56,0.12,0.95
Wheat,Central India,kharif,9,64.9,18.78,0.12,0.95
Wheat,Central India,kharif,10,71.79,18.73,0.12,0.95
Wheat,Central India,kharif,11,69.24,20.2,0.12,0.95
Wheat,Central India,kharif,12,66.91,22.87,0.12,0.95
Wheat,Central India,rabi,1,73.63,24.34,0.12,0.8
Wheat,Central India,rabi,2,77.13,24.88,0.12,0.8
Wheat,Central India,rabi,3,74.41,25.02,0.12,0.8
Wheat,Central India,rabi,4,72.22,24.74,0.12,0.8
Wheat,Central India,rabi,5,69.98,24.16,0.12,0.8
Wheat,Central India,rabi,6,63.91,23.66,0.12,0.8
Wheat,Central India,rabi,7,61.47,19.46,0.12,0.8
Wheat,Central India,rabi,8,71.19,19.69,0.12,0.8
Wheat,Central India,rabi,9,68.12,19.12,0.12,0.8
Wheat,Central India,rabi,10,65.34,18.52,0.12,0.8
Wheat,Central India,rabi,11,66.88,19.85,0.12,0.8
Wheat,Central India,rabi,12,72.88,21.88,0.12,0.8
Wheat,Central India,zaid,1,65.37,23.38,0.12,0.8
Wheat,Central India,zaid,2,72.66,24.35,0.12,0.8
Wheat,Central India,zaid,3,66.89,25.52,0.12,0.8
Wheat,Central India,zaid,4,71.82,24.4,0.12,0.8
Wheat,Central India,zaid,5,67.14,23.85,0.12,0.8
Wheat,Central India,zaid,6,60.76,20.89,0.12,0.8
Wheat,Central India,zaid,7,62.91,20.19,0.12,0.8
Wheat,Central India,zaid,8,66.96,20.16,0.12,0.8
Wheat,Central India,zaid,9,69.29,18.59,0.12,0.8
Wheat,Central India,zaid,10,65.31,18.45,0.12,0.8
Wheat,Central India,zaid,11,66.41,20.14,0.12,0.8
Wheat,Central India,zaid,12,69.61,21.34,0.12,0.8
Rice,North India,kharif,1,70.6,31.48,0.1,0.9
Rice,North India,kharif,2,68.55,32.02,0.1,0.9
Rice,North India,kharif,3,72.95,31.81,0.1,0.9
Rice,North India,kharif,4,70.22,31.65,0.1,0.9
Rice,North India,kharif,5,68.49,29.4,0.1,0.9
Rice,North India,kharif,6,66.62,28.42,0.1,0.9
Rice,North India,kharif,7,72.26,26.65,0.1,0.9
Rice,North India,kharif,8,74.67,23.8,0.1,0.9
Rice,North India,kharif,9,67.86,23.93,0.1,0.9
Rice,North India,kharif,10,74.85,23.77,0.1,0.9
Rice,North India,kharif,11,60.8,25.43,0.1,0.9
Rice,North India,kharif,12,55.88,27.56,0.1,0.9
Rice,North India,rabi,1,64.2,30.24,0.1,0.75
Rice,North India,rabi,2,70.81,33.42,0.1,0.75
Rice,North India,rabi,3,74.25,31.64,0.1,0.75
Rice,North India,rabi,4,64.61,32.1,0.1,0.75
Rice,North India,rabi,5,61.4,31.75,0.1,0.75
Rice,North India,rabi,6,72.4,27.61,0.1,0.75
Rice,North India,rabi,7,56.43,26.95,0.1,0.75
Rice,North India,rabi,8,63.33,25.27,0.1,0.75
Rice,North India,rabi,9,55.53,23.37,0.1,0.75
Rice,North India,rabi,10,63.93,24.4,0.1,0.75
Rice,North India,rabi,11,62.75,26.38,0.1,0.75
Rice,North India,rabi,12,61.16,27.88,0.1,0.75
Rice,North India,zaid,1,68.6,30.56,0.1,0.75
Rice,North India,zaid,2,72.66,30.57,0.1,0.75
Rice,North India,zaid,3,61.83,33.43,0.1,0.75
Rice,North India,zaid,4,70.76,30.93,0.1,0.75
Rice,North India,zaid,5,75.76,30.2,0.1,0.75
Rice,North India,zaid,6,72.4,28.06,0.1,0.75
Rice,North India,zaid,7,75.3,27.26,0.1,0.75
Rice,North India,zaid,8,62.66,25.07,0.1,0.75
Rice,North India,zaid,9,66.73,24.78,0.1,0.75
Rice,North India,zaid,10,59.08,24.86,0.1,0.75
Rice,North India,zaid,11,70.29,24.53,0.1,0.75
Rice,North India,zaid,12,60.58,26.29,0.1,0.75
Rice,South India,kharif,1,66.65,30.75,0.1,0.9
Rice,South India,kharif,2,76.61,31.71,0.1,0.9
Rice,South India,kharif,3,77.64,30.87,0.1,0.9
Rice,South India,kharif,4,60.58,31.58,0.1,0.9
Rice,South India,kharif,5,69.92,30.07,0.1,0.9
Rice,South India,kharif,6,56.16,27.93,0.1,0.9
Rice,South India,kharif,7,58.48,26.42,0.1,0.9
Rice,South India,kharif,8,65.73,23.68,0.1,0.9
Rice,South India,kharif,9,60.93,23.04,0.1,0.9
Rice,South India,kharif,10,63.59,25.06,0.1,0.9
Rice,South India,kharif,11,60.07,26.29,0.1,0.9
Rice,South India,kharif,12,63.85,27.33,0.1,0.9
Rice,South India,rabi,1,67.46,29.17,0.1,0.75
Rice,South India,rabi,2,66.33,30.5,0.1,0.75
Rice,South India,rabi,3,79.32,32.23,0.1,0.75
Rice,South India,rabi,4,65.6,31.84,0.1,0.75
Rice,South India,rabi,5,67.44,29.9,0.1,0.75
Rice,South India,rabi,6,69.57,28.64,0.1,0.75
Rice,South India,rabi,7,62.35,25.45,0.1,0.75
Rice,South India,rabi,8,62.53,22.68,0.1,0.75
Rice,South India,rabi,9,55.92,24.78,0.1,0.75
Rice,South India,rabi,10,72.13,24.18,0.1,0.75
Rice,South India,rabi,11,67.88,26.14,0.1,0.75
Rice,South India,rabi,12,81.89,28.94,0.1,0.75
Rice,South India,zaid,1,67.36,29.24,0.1,0.75
Rice,South India,zaid,2,61.07,31.83,0.1,0.75
Rice,South India,zaid,3,65.72,30.83,0.1,0.75
Rice,South India,zaid,4,65.87,30.61,0.1,0.75
Rice,South India,zaid,5,76.44,30.9,0.1,0.75
Rice,South India,zaid,6,66.46,29.24,0.1,0.75
Rice,South India,zaid,7,65.39,25.23,0.1,0.75
Rice,South India,zaid,8,71.52,24.76,0.1,0.75
Rice,South India,zaid,9,58.31,23.66,0.1,0.75
Rice,South India,zaid,10,59.52,23.35,0.1,0.75
Rice,South India,zaid,11,69.63,27.38,0.1,0.75
Rice,South India,zaid,12,59.51,28.47,0.1,0.75
Rice,West India,kharif,1,64.75,29.66,0.1,0.9
Rice,West India,kharif,2,66.14,30.82,0.1,0.9
Rice,West India,kharif,3,69.74,31.4,0.1,0.9
Rice,West India,kharif,4,70.45,31.59,0.1,0.9
Rice,West India,kharif,5,66.81,29.28,0.1,0.9
Rice,West India,kharif,6,63.62,28.63,0.1,0.9
Rice,West India,kharif,7,67.5,25.14,0.1,0.9
Rice,West India,kharif,8,64.4,24.91,0.1,0.9
Rice,West India,kharif,9,55.15,24.19,0.1,0.9
Rice,West India,kharif,10,60.59,24.78,0.1,0.9
Rice,West India,kharif,11,61.18,24.5,0.1,0.9
Rice,West India,kharif,12,58.36,28.04,0.1,0.9
Rice,West India,rabi,1,69.3,29.28,0.1,0.75
Rice,West India,rabi,2,72.29,30.06,0.1,0.75
Rice,West India,rabi,3,69.17,31.03,0.1,0.75
Rice,West India,rabi,4,65.84,31.68,0.1,0.75
Rice,West India,rabi,5,63.7,29.75,0.1,0.75
Rice,West India,rabi,6,71.53,27.52,0.1,0.75
Rice,West India,rabi,7,69.18,25.02,0.1,0.75
Rice,West India,rabi,8,66.55,25.42,0.1,0.75
Rice,West India,rabi,9,51.14,23.23,0.1,0.75
Rice,West India,rabi,10,66.79,24.21,0.1,0.75
Rice,West India,rabi,11,66.86,25.43,0.1,0.75
Rice,West India,rabi,12,66.93,27.87,0.1,0.75
Rice,West India,zaid,1,73.84,30.33,0.1,0.75
Rice,West India,zaid,2,70.79,31.25,0.1,0.75
Rice,West India,zaid,3,67.06,31.78,0.1,0.75
Rice,West India,zaid,4,71.07,31.24,0.1,0.75
Rice,West India,zaid,5,69.45,31.97,0.1,0.75
Rice,West India,zaid,6,70.86,27.73,0.1,0.75
Rice,West India,zaid,7,71.01,25.58,0.1,0.75
Rice,West India,zaid,8,53.71,23.63,0.1,0.75
Rice,West India,zaid,9,54.15,23.55,0.1,0.75
Rice,West India,zaid,10,63.99,25.59,0.1,0.75
Rice,West India,zaid,11,66.63,25.73,0.1,0.75
Rice,West India,zaid,12,70.65,26.14,0.1,0.75
Rice,East India,kharif,1,69.18,30.8,0.1,0.9
Rice,East India,kharif,2,61.71,32.72,0.1,0.9
Rice,East India,kharif,3,71.19,31.8,0.1,0.9
Rice,East India,kharif,4,72.26,33.79,0.1,0.9
Rice,East India,kharif,5,68.91,30.32,0.1,0.9
Rice,East India,kharif,6,64.2,27.29,0.1,0.9
Rice,East India,kharif,7,69.15,25.23,0.1,0.9
Rice,East India,kharif,8,64.26,24.01,0.1,0.9
Rice,East India,kharif,9,65.89,24.04,0.1,0.9
Rice,East India,kharif,10,69.09,23.99,0.1,0.9
Rice,East India,kharif,11,63.65,25.14,0.1,0.9
Rice,East India,kharif,12,64.28,28.32,0.1,0.9
Rice,East India,rabi,1,71.78,29.27,0.1,0.75
Rice,East India,rabi,2,73.45,32.92,0.1,0.75
Rice,East India,rabi,3,71.57,34.01,0.1,0.75
Rice,East India,rabi,4,65.23,30.46,0.1,0.75
Rice,East India,rabi,5,59.11,31.45,0.1,0.75
Rice,East India,rabi,6,69.77,27.95,0.1,0.75
Rice,East India,rabi,7,66.4,25.03,0.1,0.75
Rice,East India,rabi,8,76.13,24.46,0.1,0.75
Rice,East India,rabi,9,64.05,24.32,0.1,0.75
Rice,East India,rabi,10,66.31,24.53,0.1,0.75
Rice,East India,rabi,11,61.05,26.27,0.1,0.75
Rice,East India,rabi,12,75.91,29.13,0.1,0.75
Rice,East India,zaid,1,75.97,29.64,0.1,0.75
Rice,East India,zaid,2,64.15,31.52,0.1,0.75
Rice,East India,zaid,3,69.78,33.26,0.1,0.75
Rice,East India,zaid,4,60.64,33.09,0.1,0.75
Rice,East India,zaid,5,67.21,29.71,0.1,0.75
Rice,East India,zaid,6,61.44,26.61,0.1,0.75
Rice,East India,zaid,7,69.12,25.96,0.1,0.75
Rice,East India,zaid,8,57.45,23.42,0.1,0.75
Rice,East India,zaid,9,61.82,24.99,0.1,0.75
Rice,East India,zaid,10,62.6,23.26,0.1,0.75
Rice,East India,zaid,11,63.77,25.69,0.1,0.75
Rice,East India,zaid,12,53.02,27.95,0.1,0.75
Rice,Central India,kharif,1,66.85,30.73,0.1,0.9
Rice,Central India,kharif,2,78.34,32.71,0.1,0.9
Rice,Central India,kharif,3,68.16,31.13,0.1,0.9
Rice,Central India,kharif,4,81.96,31.69,0.1,0.9
Rice,Central India,kharif,5,68.07,30.08,0.1,0.9
Rice,Central India,kharif,6,67.49,27.88,0.1,0.9
Rice,Central India,kharif,7,62.13,25.48,0.1,0.9
Rice,Central India,kharif,8,63.74,23.97,0.1,0.9
Rice,Central India,kharif,9,59.94,23.88,0.1,0.9
Rice,Central India,kharif,10,62.63,25.46,0.1,0.9
Rice,Central India,kharif,11,51.75,26.75,0.1,0.9
Rice,Central India,kharif,12,72.73,26.26,0.1,0.9
Rice,Central India,rabi,1,66.29,29.76,0.1,0.75
Rice,Central India,rabi,2,62.06,30.9,0.1,0.75
Rice,Central India,rabi,3,63.95,33.89,0.1,0.75
Rice,Central India,rabi,4,73.78,32.84,0.1,0.75
Rice,Central India,rabi,5,71.61,29.08,0.1,0.75
Rice,Central India,rabi,6,63.88,28.41,0.1,0.75
Rice,Central India,rabi,7,58.89,26.45,0.1,0.75
Rice,Central India,rabi,8,62.7,24.09,0.1,0.75
Rice,Central India,rabi,9,67.05,24.12,0.1,0.75
Rice,Central India,rabi,10,62.1,25.21,0.1,0.75
Rice,Central India,rabi,11,59.59,26.38,0.1,0.75
Rice,Central India,rabi,12,69.47,27.74,0.1,0.75
Rice,Central India,zaid,1,69.63,28.97,0.1,0.75
Rice,Central India,zaid,2,73.72,31.46,0.1,0.75
Rice,Central India,zaid,3,66.89,33.21,0.1,0.75
Rice,Central India,zaid,4,65.58,30.3,0.1,0.75
Rice,Central India,zaid,5,60.22,30.65,0.1,0.75
Rice,Central India,zaid,6,60.1,29.47,0.1,0.75
Rice,Central India,zaid,7,54.59,27.22,0.1,0.75
Rice,Central India,zaid,8,64.96,24.29,0.1,0.75
Rice,Central India,zaid,9,60.78,24.08,0.1,0.75
Rice,Central India,zaid,10,63.71,25.17,0.1,0.75
Rice,Central India,zaid,11,65.57,26.02,0.1,0.75
Rice,Central India,zaid,12,64.68,27.95,0.1,0.75
Maize,North India,kharif,1,68.04,17.96,0.14,0.85
Maize,North India,kharif,2,60.86,20.97,0.14,0.85
Maize,North India,kharif,3,68.85,20.54,0.14,0.85
Maize,North India,kharif,4,67.69,20.64,0.14,0.85
Maize,North India,kharif,5,63.8,18.72,0.14,0.85
Maize,North India,kharif,6,65.98,17.26,0.14,0.85
Maize,North India,kharif,7,65.54,15.46,0.14,0.85
Maize,North India,kharif,8,67.55,15.97,0.14,0.85
Maize,North India,kharif,9,63.28,15.93,0.14,0.85
Maize,North India,kharif,10,70.73,16.33,0.14,0.85
Maize,North India,kharif,11,54.3,15.76,0.14,0.85
Maize,North India,kharif,12,61.88,18.02,0.14,0.85
Maize,North India,rabi,1,69.09,18.76,0.14,0.7
Maize,North India,rabi,2,68.53,19.69,0.14,0.7
Maize,North India,rabi,3,64.94,19.48,0.14,0.7
Maize,North India,rabi,4,62.98,19.18,0.14,0.7
Maize,North India,rabi,5,61.62,20.21,0.14,0.7
Maize,North India,rabi,6,60.25,19.99,0.14,0.7
Maize,North India,rabi,7,65.97,16.78,0.14,0.7
Maize,North India,rabi,8,58.11,16.12,0.14,0.7
Maize,North India,rabi,9,59.12,15.38,0.14,0.7
Maize,North India,rabi,10,75.2,15.6,0.14,0.7
Maize,North India,rabi,11,69.25,16.16,0.14,0.7
Maize,North India,rabi,12,64.83,19.34,0.14,0.7
Maize,North India,zaid,1,63.37,20.82,0.14,0.7
Maize,North India,zaid,2,71.14,19.86,0.14,0.7
Maize,North India,zaid,3,71.16,21.55,0.14,0.7
Maize,North India,zaid,4,70.71,19.0,0.14,0.7
Maize,North India,zaid,5,62.86,19.15,0.14,0.7
Maize,North India,zaid,6,64.63,18.47,0.14,0.7
Maize,North India,zaid,7,64.39,15.72,0.14,0.7
Maize,North India,zaid,8,64.3,16.06,0.14,0.7
Maize,North India,zaid,9,64.8,15.99,0.14,0.7
Maize,North India,zaid,10,66.57,15.96,0.14,0.7
Maize,North India,zaid,11,63.15,15.49,0.14,0.7
Maize,North India,zaid,12,67.15,18.16,0.14,0.7
Maize,South India,kharif,1,67.86,18.31,0.14,0.85
Maize,South India,kharif,2,62.19,21.24,0.14,0.85
Maize,South India,kharif,3,67.8,21.29,0.14,0.85
Maize,South India,kharif,4,67.74,20.36,0.14,0.85
Maize,South India,kharif,5,71.19,18.93,0.14,0.85
Maize,South India,kharif,6,65.48,17.65,0.14,0.85
Maize,South India,kharif,7,61.33,16.43,0.14,0.85
Maize,South India,kharif,8,63.51,15.35,0.14,0.85
Maize,South India,kharif,9,68.28,14.73,0.14,0.85
Maize,South India,kharif,10,61.47,15.37,0.14,0.85
Maize,South India,kharif,11,70.73,16.79,0.14,0.85
Maize,South India,kharif,12,70.16,16.88,0.14,0.85
Maize,South India,rabi,1,67.84,20.07,0.14,0.7
Maize,South India,rabi,2,68.01,21.25,0.14,0.7
Maize,South India,rabi,3,65.41,21.93,0.14,0.7
Maize,South India,rabi,4,79.09,20.03,0.14,0.7
Maize,South India,rabi,5,64.27,20.53,0.14,0.7
Maize,South India,rabi,6,72.9,17.6,0.14,0.7
Maize,South India,rabi,7,61.4,16.45,0.14,0.7
Maize,South India,rabi,8,55.68,15.06,0.14,0.7
Maize,South India,rabi,9,56.98,14.81,0.14,0.7
Maize,South India,rabi,10,62.23,15.82,0.14,0.7
Maize,South India,rabi,11,71.25,15.95,0.14,0.7
Maize,South India,rabi,12,69.92,17.84,0.14,0.7
Maize,South India,zaid,1,66.25,19.9,0.14,0.7
Maize,South India,zaid,2,61.98,20.66,0.14,0.7
Maize,South India,zaid,3,68.83,21.13,0.14,0.7
Maize,South India,zaid,4,69.04,22.44,0.14,0.7
Maize,South India,zaid,5,63.31,18.92,0.14,0.7
Maize,South India,zaid,6,61.88,17.58,0.14,0.7
Maize,South India,zaid,7,60.31,17.48,0.14,0.7
Maize,South India,zaid,8,69.5,15.29,0.14,0.7
Maize,South India,zaid,9,57.84,15.6,0.14,0.7
Maize,South India,zaid,10,59.64,16.08,0.14,0.7
Maize,South India,zaid,11,64.51,15.59,0.14,0.7
Maize,South India,zaid,12,72.74,19.36,0.14,0.7
Maize,West India,kharif,1,63.44,19.03,0.14,0.85
Maize,West India,kharif,2,69.03,20.62,0.14,0.85
Maize,West India,kharif,3,71.29,22.45,0.14,0.85
Maize,West India,kharif,4,66.71,19.66,0.14,0.85
Maize,West India,kharif,5,59.6,18.76,0.14,0.85
Maize,West India,kharif,6,64.83,19.36,0.14,0.85
Maize,West India,kharif,7,60.91,16.81,0.14,0.85
Maize,West India,kharif,8,62.32,16.44,0.14,0.85
Maize,West India,kharif,9,74.63,14.96,0.14,0.85
Maize,West India,kharif,10,59.95,16.35,0.14,0.85
Maize,West India,kharif,11,66.91,17.94,0.14,0.85
Maize,West India,kharif,12,67.92,17.73,0.14,0.85
Maize,West India,rabi,1,69.45,20.25,0.14,0.7
Maize,West India,rabi,2,71.7,20.77,0.14,0.7
Maize,West India,rabi,3,73.33,21.72,0.14,0.7
Maize,West India,rabi,4,74.51,20.89,0.14,0.7
Maize,West India,rabi,5,65.66,19.47,0.14,0.7
Maize,West India,rabi,6,71.03,17.38,0.14,0.7
Maize,West India,rabi,7,65.34,16.37,0.14,0.7
Maize,West India,rabi,8,62.55,16.5,0.14,0.7
Maize,West India,rabi,9,62.96,15.33,0.14,0.7
Maize,West India,rabi,10,55.6,16.15,0.14,0.7
Maize,West India,rabi,11,66.73,18.16,0.14,0.7
Maize,West India,rabi,12,63.46,18.17,0.14,0.7
Maize,West India,zaid,1,67.75,20.63,0.14,0.7
Maize,West India,zaid,2,67.12,20.58,0.14,0.7
Maize,West India,zaid,3,71.04,20.86,0.14,0.7
Maize,West India,zaid,4,65.37,20.5,0.14,0.7
Maize,West India,zaid,5,71.87,18.52,0.14,0.7
Maize,West India,zaid,6,65.66,17.47,0.14,0.7
Maize,West India,zaid,7,69.48,15.58,0.14,0.7
Maize,West India,zaid,8,59.61,15.91,0.14,0.7
Maize,West India,zaid,9,69.83,15.26,0.14,0.7
Maize,West India,zaid,10,59.63,16.9,0.14,0.7
Maize,West India,zaid,11,56.26,15.11,0.14,0.7
Maize,West India,zaid,12,67.2,17.62,0.14,0.7
Maize,East India,kharif,1,61.39,19.93,0.14,0.85
Maize,East India,kharif,2,68.82,19.86,0.14,0.85
Maize,East India,kharif,3,61.6,21.46,0.14,0.85
Maize,East India,kharif,4,70.85,20.25,0.14,0.85
